120	PO1                           	000001	TEST1
120	PO4                           	000039	9.2.3 逾期超15日以上的，甲方有权解除合同，且乙方须在3日内退回双倍定金并赔偿由此给甲方造成的损失。
120	PO4                           	000040	9.3 多出部分由乙方自行运回处理（若有太平鸟字样、商标的，未经太平鸟女装同意，不得擅自转让）；若交货单色数量不足甲方允许接收范围的，按以下情况处理：
120	PO4                           	000041	9.3.1 数量少允许范围以上不满5%的，甲方有权扣罚乙方总货款的2%作为赔偿；
120	PO4                           	000042	9.3.2 数量少5%以上不满10%的，甲方有权扣罚乙方总货款的3%作为赔偿；
120	PO4                           	000043	9.3.3 按该款产品制作的成衣数量少于该款成衣合同约定数量15%的,乙方须与甲方协商确定补货货品的交货时间,且需双方书面确认。若乙方无法补货或超出规定时间交付补货产品的，甲方有权将按该款产品制作的成衣以代销方式处理。或者,甲方有权解除合同,且乙方须在3日
120	PO4                           	000044	9.4 甲方对乙方生产的产品有权派专人随时进行抽查、检验。未在甲方进行书面备案，乙方不得将甲方委托加工的产品外发到其他厂家进行生产加工，否则，甲方有权解除合同，且有权要求乙方承担【 合同总金额20% 】元的违约金并赔偿相应损失。
120	PO4                           	000045	9.5 如因乙方提供产品不符合同要求致成衣在销售过程中被顾客退回的，乙方需对甲方因此造成的损失进行赔偿。
120	PO4                           	000046	9.6 如因乙方提供货品不符合合同要求给甲方造成其他损失的，乙方须向甲方承担相应的赔偿责任。
120	PO4                           	000047	十、知识产权
120	PO4                           	000048	10.1 乙方必须在甲方书面授权的前提下，按合同约定进行涉及“太平鸟”系列品牌LOGO的生产和使用，不得擅自或超越授权范围的生产、使用；否则，一经发现，乙方必须承担【 合同总金额100% 】元的违约金，同时赔偿甲方因此所遭受的所有损失。
120	PO4                           	000049	10.2 对于甲方所提供的资料，乙方必须做到保密，不得向外输出，否则一经发现则必须承担【合同总金额100%】元的违约金，同时赔偿甲方因此所遭受的所有损失。
120	PO4                           	000050	十一、不可抗力
120	PO4                           	000051	10.1 本合同中，不可抗力是指不能预见、不能避免并不能克服的客观情况，包括：战争、火灾、洪水、台风、地震、政策变化或其它人力不可抗拒之事件。
120	PO4                           	000052	10.2 如果任何一方因不可抗力事件导致合同履行被迫停止或不得不推迟履行本合同，双方应协商解决合同的进一步履行问题。但遭受不可抗力的一方应采取所有合理措施，将不可抗力引致的延误及损失减至最小。
120	PO4                           	000053	10.3 受不可抗力影响的一方应将有关情况尽快通过电传或传真通知另一方。在不可抗力出现14天内，受影响的一方应提供一份有关权威机构出具的证明文件给对方以便其检验和确认。受影响的一方应在不可抗力终止或被排除后3日内通知对方不可抗力已终结或排除。
120	PO4                           	000054	10.4 如果不可抗力持续超过30天，双方应就合同执行问题进行友好协商，并尽快达成书面协议。如果未能达成书面协议，任何一方有权终止本合同。
120	PO4                           	000055	十二、独立条款
120	PO4                           	000056	为保证甲乙双方各自独立经营，乙方确认，乙方（如非自然人，则包括其实际控制人、股东、董事、监事、高级管理人员、核心技术人员、主要经办人员）与宁波太平鸟时尚服饰股份有限公司（以下简称“太平鸟”或“公司”）董事、监事、高级管理人员、核心技术人员或关键管理人员：
120	PO4                           	000057	12.1 □存在□不存在亲属关系（包括配偶、父母、年满18周岁的子女及其配偶、兄弟姐妹及其配偶，配偶的父母、兄弟姐妹，子女配偶的父母或其他关系密切 的亲属关系）或根据相关协议安排（包括但不限于口头约定、未公开协议）的其他利益关系如存在，具体为：【
120	PO4                           	000058	12.2 乙方承诺上述情况真实、完整、无遗漏。如乙方未如实告知甲方而取得本合同项下产品供应的，甲方一经发现，有权单方终止本合同并追究乙方的违约责任。
120	PO4                           	000059	十三、附则
120	PO4                           	000060	13.1 对本合同的任何修改必须经双方授权代表以书面形式签字确认或盖章后生效，授权代表必须为在合同上签字确认的授权代表。
120	PO4                           	000061	13.2 本合同所称“以上”包括本数，“不满”、“以内”不包括本数。
120	PO4                           	000062	13.3 在合同履行过程中发生争议的，由双方协商解决，协商无效后再按法定程序解决，由甲方所在地法院作为管辖法院。
120	PO4                           	000063	13.4 本合同一式贰份，甲方壹份，乙方壹份，经双方签字盖章后生效。
120	测试123                         	000001	张三
120	测试123                         	000002	李四
120	测试123                         	000003	123FEF
120	测试123                         	000004	FEAFEF
120	测试1234                        	000001	A
120	测试1234                        	000002	BC
120	测试1234                        	000003	DEF
120	测试1234                        	000004	GHIJ
